pdes,M1,K1,source_citation,notes
1935 Q1,5.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Biesbroeck) + 21 Aug 1935 Yerkes discovery → 1935 Q1 per target list peri 1936-05-11; E-IV from 35 brightness estimates H10=5m.4; agrees with 1937 and 1938 estimates; very long observation period; D1=1'.2 March/June 1936; chose E-IV → source 'other'; far-distance comet (r=4-6 AU); page-image proofread vs p478: confirmed
1936 K1,6.9,10.0,"Vsekhsvyatskij 1958, other","matched by name (Peltier) + 15-16 May 1936 Delphos discovery → 1936 K1 (Peltier) per target list peri 1936-07-08; FAMOUS naked-eye comet; Beyer y=19.6, H0=6m.1, h0=10.0; Bobrovnikoff (346 estimates from 23 observers) y=11.9, H0=6m.8; E-IV (Konopleva) y=11.1, H0=6m.7, H10=6m.9; chose E-IV H10=6.9 per §3.1 (E-IV is canonical synthesis); source 'other' (E-IV); main tail type II with type I jet projected; FAMOUS — sanity check: M1=6.9, peri r=1.10, Δ_min=0.20 → predicted peak m=6.9+5log(0.20)+10log(1.10)=6.9-3.5+0.41=3.81 vs observed 2.9-3.5 reasonable agreement; D1=3-6'; S=0.056 (long tail 1° naked-eye); page-image proofread vs p479-480: confirmed"
1936 O1,8.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kaho + Kozik) + 17 July 1936 simultaneous discovery from Japan/USSR/Carpathians → 1936 O1 per target list peri 1936-07-15; E-IV from 31 estimates y=16.8, H0=9m.7, H10=8m.4; D1=1'.0 July; tail type I + type II superposition; spectrum studied; chose E-IV → source 'other'; sanity: M1=8.4, peri r=0.52, Δ=1.01 → m=8.4+5log(1.01)+10log(0.52)=8.4+0+(-2.84)=5.56 vs observed 4-5m at discovery ✓; page-image proofread vs p480-481: confirmed"
58P,13.3,10.0,"Vsekhsvyatskij 1958, other",matched by name (Neujmin + Jackson) + 20-21 Sept 1936 Johannesburg/Simeis discovery → 58P per target list peri 1936-10-03; E-IV from 19 estimates H10=13m.3; rapid decrease in brightness after perihelion (NON-STANDARD); D1=0'.3-0'.4; chose E-IV → source 'other'; periodic — will dedupe with other 58P apparitions; page-image proofread vs p481: confirmed
1937 P1,5.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Hubble) + 4 Aug 1936 Mt. Wilson discovery → 1937 P1 (Hubble) per target list peri 1936-11-14 (perihelion year 1936 hence Big V designation 1936 V); E-IV H10=5m.5; D1=1'.3 Aug-Sept; far-distance comet (r=3.4 AU); chose E-IV → source 'other'; page-image proofread vs p481-482: confirmed
33P,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 7P (wrong; 7P is entry 1909 II); body explicitly: 'first recorded apparition of the short period Comet Daniel' = 33P/Daniel; target list 33P peri 1909-11-29 matches body's 6 Dec Daniel discovery; Dubiago y=13.9; V.I y=21 H0=6m.7 (van Biesbroeck); C.A.M. H10=9m.5; chose C.A.M. per sec 3.1; periodic — will dedupe with other 33P apparitions; very high y=21 (unusual); page-image proofread vs page 379-380: confirmed; periodic dedupe across apparitions [1937 I: M1=12.1]
1937 D1,10.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Wilk) + 27 Feb 1937 Cracow discovery → 1937 D1 per target list peri 1937-02-21; Beyer A.N.264:406 from 19 estimates y=11.1, H0=10m.3; Bobrovnikoff (32 estimates) y=9.7, H0=10m.3; E-IV y=10.5, H0=10m.4, H10=10m.4; chose E-IV → source 'other'; D1=2'.7-4'.0 March-April; tail type I; sanity: M1=10.4 at peri r=0.63, Δ=0.86 → m=10.4+5log(0.86)+10log(0.63)=10.4-0.33-2.0=8.07 vs observed 7m+ at discovery ✓; page-image proofread vs p482-483: confirmed"
1937 C1,6.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Whipple) + 14 Feb 1937 Harvard discovery → 1937 C1 per target list peri 1937-06-20; Beyer (54 obs) y=16.6, H0=3m.9; Bobrovnikoff y=7.5, H0=6m.42 (smaller arc); E-IV (120 estimates) y=9.2, H0=6m.1; post-peri y=16.3, H0=4m.7; on average H10=6.05 (per page text 'on the average H10=6m.05'); chose E-IV average 6.1 (rounded) per §3.1 — most comprehensive synthesis; source 'other'; D1=4'.0; tail type II/III with type I jets; sanity: M1=6.1, peri r=1.73, Δ_min=1.27 → m=6.1+5log(1.27)+10log(1.73)=6.1+0.52+2.38=9.0 vs observed brightest 8.3-8.5 ✓; page-image proofread vs p483-484: confirmed"
1937 N1,6.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Finsler) + 4 July 1937 Zurich discovery → 1937 N1 per target list peri 1937-08-15; FAMOUS naked-eye comet (m=4 at peak, 7° tail); Beyer (24 obs) y=3.8, H0=5m.6; Bobrovnikoff (349 estimates) y=1.4, H0=6m.2; E-IV before peri y=8.2, H0=6m.0; after peri y=2.5, H0=6m.0, H10=6m; chose E-IV H10=6.0 per §3.1; source 'other'; D1=14-20' July-Aug; main tail S_max=0.195 (very long); short type III tail S=0.0048; FAMOUS — sanity check: M1=6.0, peri r=0.86, Δ_min=0.62 → predicted m=6.0+5log(0.62)+10log(0.86)=6.0-1.04-0.66=4.30 vs observed 3.5-4.5 naked eye ✓; page-image proofread vs p484-486: confirmed"
1939 B1,9.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kozik + Peltier) + 17-19 Jan 1939 Tashkent/Delphos discovery → 1939 B1 per target list peri 1939-02-06; Richter A.N.273:278 y=20, Hy=10m.5; E-IV H10=9m.25 (rounded to 9.3); D1=1'.7 Feb; tail close to type I S=0.078; spectrum studied; chose E-IV → source 'other'; sanity: M1=9.3, peri r=0.72, Δ=0.57 → m=9.3+5log(0.57)+10log(0.72)=9.3-1.22-1.43=6.65 vs observed 5.5-6.5 naked-eye ✓; page-image proofread vs p488-489: confirmed"
1939 H1,7.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Jurlof + Achmarof + Hassel) + 15 April 1939 multiple-discoverer event (Jurlof Votkinsk + Achmarof Balezino + Smith Canada + Hassel Norway) → 1939 H1 per target list peri 1939-04-10; FAMOUS naked-eye comet (m=3 at discovery, 4-6° tail visible to naked eye); van Schewick A.N.273:278 y=9.8, Hy=7m.2; E-IV H10=7m.1; Beyer (17 estimates) y=7.7, Hy=6m.4; chose E-IV → source 'other'; D1=3'.5 April; S_max=0.24 (very long tail); tail type I; FAMOUS — sanity check: M1=7.1, peri r=0.54, Δ=0.67 → m=7.1+5log(0.67)+10log(0.54)=7.1-0.87-2.68=3.55 vs observed peak 3-3.5 naked-eye ✓; page-image proofread vs p489-491: confirmed; popular_name uses 'Jurlof-Achmarof-Hassel' per target list"
40P,12.2,10.0,"Vsekhsvyatskij 1958, other",matched by name (Vaisala) + 8 Feb 1939 Turku discovery as minor planet (1939 CB) → 40P per target list peri 1939-04-26; body 'first recorded apparition of the short-period Comet Vaisala' = 40P; Richter A.N.273:2 H10=12m.2; D1=0'.3 April-May; chose Richter → source 'other'; periodic — will dedupe with other 40P apparitions; page-image proofread vs p491: confirmed
35P,8.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Rigollet) + body 'second recorded apparition of the periodic Comet Caroline Herschel-Rigollet' (first was 1788 II) = 35P per target list peri 1939-08-09; Cunningham first to suggest identity with 1788 II; E-IV H10=8m.5; irregular brightness fluctuations; decrease Nov-Jan more rapid than r^-4*Δ^-2 (NON-STANDARD); D1=2-2.7' Aug-Sept; tail type II or III; chose E-IV → source 'other'; periodic — will dedupe with other 35P apparitions; page-image proofread vs p492-493: confirmed
489P,10.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Denning); 489P/Denning peri 1894-02-09 — discovery apparition; Denning Bristol 26 March 1894 disc 50 days post-peri; M.N. 90:720 H10=10.2; Big V's narrative synthesis H10=10.4±0.1; periodic — dedupe with other 489P apparitions; page-image proofread vs page 324: confirmed; periodic dedupe across apparitions [1939 VIII: M1=12.4]
1939 V1,10.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Friend) + 1 Nov 1939 Esconido California discovery → 1939 V1 per target list peri 1939-11-05; Richter A.N.273 H.2: y=15, Hy=10m.6; E-IV from 17 estimates H10=10m.7; chose E-IV → source 'other'; D1=2'.5-3'.2 Nov; sanity: M1=10.7, peri r=0.95, Δ=0.95 → m=10.7+5log(0.95)+10log(0.95)=10.7-0.11-0.22=10.4 vs observed 9.0-9.5 (slightly brighter than fit, acceptable); page-image proofread vs p494: confirmed"
1881 J1,8.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Swift) + Roman position 2; brief entry; only E-III H10 cited (E-III falls under 'other' per commission); Kreutz orbit (sungrazer family); page-image proofread vs page 257: confirmed
1881 K1,4.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tebbutt) + perihelion June 1881; bright naked-eye comet; BIG V FLAGS C.A.M. AS ERRONEOUS — 'C.A.M. gave H10=2m.8 by an error in reduction'; chose Big V's preferred phase synthesis H10=4.1 (June-July, discovery period); Holetschek H1=4.5 also cited; Bobrovnikoff y=10.59, m=2.59; Big V notes Bobrovnikoff disagreement traced to nuclear-only observations; phase-specific H10: June-July=4.1, Aug-Sept=4.2, Oct-Nov=4.8, 14 Feb=3.6; chose June-July (close to peak); page-image proofread vs page 259: confirmed"
1881 N1,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Schaeberle); discovered 13 July 1881; Holetschek H1=5.5; In C.A.M., H10=5.0; phase-specific H10=6.0 (July-Aug) and 7.0 (Sept-Nov, Feb); page-image proofread vs page 261: confirmed"
72P,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Denning); first apparition of 72P/Denning-Fujikawa; Big V cites C.A.M. H10=9 to 10; took midpoint 9.5; 'From these estimates, H10=9.0±1.0'; periodic — will dedupe with other 72P apparitions; page-image proofread vs page 261: confirmed"
1881 W1,4.7,10.0,"Vsekhsvyatskij 1958, other",matched by name (Swift) + Roman position 8; only E-III H10 cited (E-III → 'other'); brief photometry; popular_name disambiguates from Swift 1881 J1; page-image proofread vs page 263: confirmed
1883 D1,7.0,10.0,"Vsekhsvyatskij 1958, Holetschek",matched by name (Brooks); only Holetschek H1=7.0 cited (no separate C.A.M. or H10 value); H1 used as proxy for H10 (n=4 case); page-image proofread vs page 269: confirmed
1884 A1,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Ross); In C.A.M., H10=7.0; Holetschek H1=6.5; brief entry; page-image proofread vs page 269: confirmed"
12P,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); SECOND recorded apparition of 12P/Pons-Brooks (first since 1812); In C.A.M., H10=4.9; Holetschek H1 ranged 3.7-6.3 across months (avg H1=4.3 to 4.5); Bobrovnikoff non-standard fits y=2.5 H0=5.35, y=10.5 H0=4.64; periodic — will dedupe with other 12P apparitions; page-image proofread vs page 271: confirmed"
1885 N1,5.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Barnard); references list says E-II but in-line citation reads 'In E-III, H10=5.2'; per Barnard 1882 III precedent (different reference, three I's), used 'other'; orbit q=2.5 large perihelion distance; page-image proofread vs page 275: confirmed"
1885 R1,5.5,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 9P, but Big V 1885 III is paren-id 1885e (Brooks/Common Aug 31 disc); 274-year period orbit (Klumpke); matches C/1885 R1 (Brooks, peri Aug 10); SCRIPT SEGMENTATION ALSO ERRORED — Big V Roman is III not II (header reads '1885 III (1885e)'); only E-III H10 cited; page-image proofread vs page 276: confirmed"
1885 Y1,5.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1885 N1 (Barnard 7 July, already 1885 II), but 1885 V (1885h) is Brooks/Barnard Dec 26 1885 discovery → C/1885 Y1 (Brooks, peri Nov 25); only E-III H10 cited; page-image proofread vs page 277: confirmed"
1885 X1,6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Fabry); In C.A.M., H10=6.4; Filippov from Donner's obs y=6.8, Hy=6.7; Holetschek H10=7.9; Müller H10(max)=5.20; multiple estimates ranging 5.1-7.9; took C.A.M. as synthesis; page-image proofread vs page 279: confirmed"
1885 X2,7.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 11P, but body says Barnard 3 Dec 1885 disc → C/1885 X2 (Barnard) peri May 3 1886; In C.A.M., H10=7.1; Filippov 1927 y=6.0 Hy=7.5; Bobrovnikoff y=5.1 H0=6.66; Big V's own synthesis from Müller+Holetschek+naked-eye H10=6.55; chose C.A.M.; page-image proofread vs page 281: confirmed"
1886 J1,4.9,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1885 X2, but Big V 1886 III is 1886b paren-id (Brooks 30 April disc), peri ~early May → C/1886 J1 (Brooks, peri May 4); hyperbolic e=1.013; only E-III H10 cited (=4.9 initial) with Big V noting it grew to 7-8m end of May and disintegrated rapidly; took E-III initial value; page-image proofread vs page 282: confirmed"
1886 H1,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1886 J1, but Big V 1886 IV (1886c, Brooks 22 May disc, third Brooks comet within 25 days) → likely C/1886 H1 (Brooks, peri June 7); body claims 'short-period nature' (Hind) but no modern periodic match in target list, so non-periodic 1886 H1 chosen by perihelion proximity; In C.A.M., H10=9.5; Big V notes 'with these estimates, H10=8.9'; took C.A.M.; page-image proofread vs page 282: confirmed"
1887 B3,4.8,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 15P (Roman fallback wrong), body identifies as Barnard 23 Jan 1887 disc → C/1887 B3 (Barnard, peri Nov 28 1886, observed post-peri); only E-III H10 cited (=4.8); D1=4 in Feb; comet discovered 'almost two months after the perihelion passage'; page-image proofread vs page 285: confirmed"
1886 T1,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1887 B3, but Big V 1886 IX (1886f, Barnard 4 Oct + Hartwig + Pechule co-disc) → C/1886 T1 (Barnard-Hartwig); plate caption confirms 'Comet 1886 IX (Barnard-Hartwig-Pechule)'; Vorontsov-Vel'yaminov 1927 y=9.5 Hy=4.7; In C.A.M., H10=4.9; Bobrovnikoff H10=4.8 y=6.1; took C.A.M.; page-image proofread vs page 287: confirmed"
1887 B1,6.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (southern); Kreutz sungrazer family (short-perihelion group 1843 I, 1880 I, 1882 II); only E-III H10 cited; Big V notes 'During the perihelion passage the comet undoubtedly exhausted all sources of volatile substance, with the nuclear luminosity decreasing correspondingly'; tail-only post-peri object; D1=4'; page-image proofread vs page 288: confirmed"
1887 B2,5.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Brooks); only E-III H10 cited; D1=4 to 4.6 (Feb-April); page-image proofread vs page 289: confirmed
1887 D1,10.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Barnard) + Roman position 3; faint comet (10-12m); E-III H10=10.9 for first observation period (Feb); H10=10.0 March-April (closer to peri); chose post-discovery synthesis 10.0; page-image proofread vs page 289: confirmed
1887 J1,9.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Barnard) + Roman position 4; 'third comet discovered by Barnard within a few months of 1887'; only E-III H10 cited; popular_name disambiguates from 1887 D1; page-image proofread vs page 290: confirmed
13P,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1887 B2, body identifies as 'second recorded apparition of the periodic Comet Olbers' = 13P/Olbers; Brooks rediscovered the periodic on 24 Aug per Berberich's ephemeris; Holetschek H1 between 8.2 and 8.1 (1815 vs 1887 comparison); Holetschek adopted m=6.5 to 7.0 in Sept, hence H1=4.8; In C.A.M., H10=5.0; periodic — will dedupe with other 13P apparitions; page-image proofread vs page 291: confirmed"
1888 D1,4.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Sawerthal); bright comet, naked-eye discovery 18 Feb 1888 at 3m; E-III synthesis H10=4.67 from 33 estimates of intrinsic brightness and 19 of nuclear (h0=19.41); 'No noticeable deviations from the rule y=10' — clean photometric law; page-image proofread vs page 293: confirmed"
1888 P1,7.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Brooks); discovery 7 Aug 1888 in Geneva NY; only E-III H10 cited; brilliance of nucleus h10=9; page-image proofread vs page 294: confirmed
1888 U1,5.8,10.0,"Vsekhsvyatskij 1958, other",matched by name (Barnard); Lick Obs. discovery 31 Oct 1888; only E-III H10 cited; brilliance h10=7.3; followed nearly 7 months in many positions; page-image proofread vs page 295: confirmed
1888 R1,3.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 16P, but Big V 1889 I (1888e) is Barnard 2 Sept 1888 disc + Brooks 3 Sept indep co-disc → C/1888 R1 (Barnard, peri Jan 31 1889); observed in four oppositions (971 days); In C.A.M., H10=3.8; Big V's own synthesis 'we find H10=3.6'; later '1891 higher absolute brightness; H10=1m'; took C.A.M.; initial e=0.999923 (parabolic); page-image proofread vs page 297: confirmed"
1889 G1,5.3,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 10P, but Big V 1889 II (1889b) is Barnard 31 March 1889 disc, distant orbit, observed multiple oppositions → C/1889 G1 (Barnard, peri June 11 1889); only E-III H10 cited; brilliance of nucleus 6.4; page-image proofread vs page 298: confirmed"
177P,8.8,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1889 G1, but Big V 1889 III (1889c) is Barnard 23 June 1889 disc, peri ~June 24 (r=1.12) → 177P/Barnard 2 (peri June 21 1889); only E-III H10 cited (=8.8 initial, 10-11 in Aug); periodic — will dedupe with other 177P apparitions if any; page-image proofread vs page 299: confirmed"
1889 O1,6.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Davidson); naked-eye discovery 19 July 1889 (peri day); 20 independent estimates → H10=6.52 (Big V's narrative synthesis from E-VI references); 'Brightness varying as y=10 is in good agreement with all estimates' — clean photometric law; nucleus absolute magnitude 8.2; page-image proofread vs page 300: confirmed
64P,10.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Swift); discovery 16 Nov 1889 by Lewis Swift Rochester → 64P/Swift-Gehrels (peri Nov 30 1889); Big V's C.A.M. flagged as overestimate — 'In C.A.M., H10=11.5; according to the estimates above, H10=10.4, which is obviously a better approximation'; took 10.4 (Big V's preferred value over C.A.M.); periodic — dedupe with other 64P apparitions; page-image proofread vs page 302: confirmed"
1889 X1,8.8,10.0,"Vsekhsvyatskij 1958, other","matched by name (Borrelly); discovery 12 Dec 1889; only E-III H10 cited; Big V notes 'In January (low altitude and absence of substantial condensation), brightness substantially underestimated... H10=9 to 10m'; took E-III value 8.8; page-image proofread vs page 303: confirmed"
1890 F1,3.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Brooks) + Brooks 19 March 1890 disc → C/1890 F1 (Brooks); distant comet, observed 687 days (1890-1892); Big V's narrative synthesis from 1890 estimates H10=3.3; 'in 1892, H10 not less than 0.7' (brightened — distant outburst); took 1890 narrative value; popular_name disambiguates from other 1890 II Coggia entry; page-image proofread vs page 304: confirmed"
1890 O1,8.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Coggia); 18 July 1890 disc near Ursa Major; only E-III H10 cited; brilliance of nucleus 10.4; Big V footnote endorses estimate as 'in full agreement with observations at Harvard Observatory not used heretofore'; SECOND Big V entry numbered 1890 II (Big V uses Roman II twice for different paren-ids 1890a and 1890b); page-image proofread vs page 304: confirmed
1890 V1,8.6,10.0,"Vsekhsvyatskij 1958, other","matched by name (Zona); discovery 15 Nov 1890 in Auriga; comet discovered 3 months after perihelion passage — 'should have been considerably brighter in the southern sky, yet not detected there'; only E-III H10 cited; brightness decreased 3.4 to 6.0 — comet faded faster than y=10; page-image proofread vs page 305: confirmed"
1890 O2,7.8,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1890 O1 (already mapped to entry 45), body is Denning Bristol 23 July 1890 disc → C/1890 O2 (Denning, peri Sept 25 1890); only E-III range-only H10 (6.2 to 9.4); took midpoint 7.8 per commission §3.4; nucleus 12-13; popular_name disambiguates from 1890 O1 Coggia; page-image proofread vs page 306: confirmed"
113P,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Spitaler); 16 Nov 1890 disc by Spitaler; In C.A.M., H10=9.5; 'With these estimates H10=9.0' (Big V's own)... 'D1=0'.5'; periodic — dedupe with other 113P apparitions (this is the discovery apparition); page-image proofread vs page 307: confirmed"
1891 T1,9.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Barnard); 2 Oct 1891 disc, southern declination → C/1891 T1 (Barnard, peri Nov 14); only E-III H10 cited; D1=1'; brief observation; page-image proofread vs page 309: confirmed"
1892 E1,3.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift); naked-eye discovery 6 March 1892 in Sagittarius; Holetschek's estimates y=9.6, Hy=3.3; Vsekhsvyatskii A.Zh. 2:76 1925 (V.I.); In C.A.M., H10=3.2; March-April D1=5 to 10'; page-image proofread vs page 312: confirmed"
1892 F1,5.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Denning); 18 March 1892 disc near delta Cephei; In C.A.M., H10=6.1 flagged by Big V as 'a slight underestimate'; Big V's preferred synthesis from Spitaler+Luther H10=5.4; took Big V endorsement (5.4) over flagged C.A.M.; nucleus 6.5; page-image proofread vs page 313: confirmed"
17P,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 206P, but body explicitly says 'second recorded apparition of the short-period Comet Holmes' = 17P/Holmes; Perrine Lick Obs 10 June 1899 rediscovery per Zwiers; faint apparition (15-17m, no outburst this time); Holetschek H1=11.7; Vsekhsvyatskii A.Zh. 7:215 1930 H10=9.52; In C.A.M., H10=9.5; D1=0'.4 to 0'.9; periodic — dedupe with other 17P apparitions (1892 outburst was much brighter; for periodic dedupe the 1892 entry will dominate per §3.6 brightest); page-image proofread vs page 347: confirmed; periodic dedupe across apparitions [1892 III: M1=0.0; 1906 III: M1=9.8]"
206P,9.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Barnard); FIRST PHOTOGRAPHIC DISCOVERY of a comet (Barnard 12 Oct 1892); 206P/Barnard-Boattini peri 1892-12-11; In C.A.M., H10=10m; Big V's narrative 'From the estimates above, H10=9.8'; took Big V's preferred 9.8; periodic — dedupe with other 206P apparitions; page-image proofread vs page 317: confirmed; periodic dedupe across apparitions [1918 III: M1=11.0]"
1892 Q1,5.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 28 Aug 1892 disc Geneva NY; Holetschek H1=7.2 to 5.4 (heliocentric variation); Vsekhsvyatskii A.Zh. 2:68 y=10.6 Hy=5.2; In C.A.M., H10=5.3; nuclear h0=7.0; page-image proofread vs page 318: confirmed"
1892 W1,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 19 Nov 1892 disc Geneva NY; V.I. derived from Holetschek's observations y=6.5, Hy=8.1; In C.A.M., H10=7.8; D1=3'.2; page-image proofread vs page 319: confirmed"
1893 N1,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Quenisset); naked-eye comet July 1893; co-discovered by Quenisset 9 July, Rordame 8 July, Johnson+Miller 8 July, Roso de Luna (4 July, mistook for Finlay), Sperra 19 June; Holetschek H1=5.8 to 6.8; non-standard y=9.9 Hy=6.6; In C.A.M., H10=6.6; Bobrovnikoff n=2.24 H0=6.42 (n=1.76 H0=6.40); nucleus 10.6; comet 'magnificent' 3-4m at peak; page-image proofread vs page 320: confirmed"
1893 U1,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 15P, but Big V 1893 IV (1893d, Brooks Geneva NY 16 Oct 1893 disc) → C/1893 U1 (Brooks, peri Sep 19 1893); With Holetschek's observations, V.I. y=11.0 Hy=6.7; In C.A.M., H10=6.6; nucleus 8.5; bright comet, photographed by Barnard 22 Oct showing complex tails; Searle reported orbit similarity with 1822 I and 1864 I; page-image proofread vs page 322: confirmed"
1894 G1,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Gale); naked-eye discovery by amateur Gale (Paddington Sydney) with 3-inch telescope on 1 April 1894; visible to unaided eye 4-7m; V.I. Hy=6.3 (y=10.1); In C.A.M., H10=6.6; brightness changed faster than r^-2; page-image proofread vs page 325: confirmed"
54P,10.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift); 'presumably third recorded apparition of the Comet de Vico-Swift'; E. Swift Jr. (Echo Mountain) 20 Nov 1894 rediscovery; Holetschek H1=10.7 to 12.3 (mid 11.5); In C.A.M., H10=10 to 11m (range); Big V's narrative 'According to these estimates, H10=10.2'; Barnard's first estimate weight 1/2; periodic — dedupe with other 54P apparitions; page-image proofread vs page 326: confirmed"
1895 W2,10.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); discovery 21 Nov 1895 Geneva NY; In C.A.M., H10=10.5 (figure based on Holetschek's estimates); Big V's range H10=9.5 to 12; in Nov. 9.9±0.1; in Dec. 11.6±0.2; 'comet was exhausting itself rapidly'; page-image proofread vs page 328: confirmed"
1895 W1,5.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 16 Nov 1895 disc Lick Obs.; bright naked-eye comet (4-5m); Holetschek H1=5.5 to 7.5; In E-III, H10=4.9; from Holetschek y=10 Hy=5.7; Big V's 'Finally, H10 may be taken as equal to 5m.2' — narrative endorsement over E-III=4.9; took 5.2; brightness law y=2.5, n=10 confirmed independent of nucleus; page-image proofread vs page 329: confirmed"
1896 C1,9.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 14 Feb 1896 disc Lick Obs near comet 1895 IV (which Lamp had rediscovered 13 Feb); Holetschek H1=7.6 to 10.2; In E-III, H10=9.3; Big V's narrative ranges H10=10.8 to 9.5 (Feb), 7.1 to 8.7 (March-April), avg 8.8; took E-III synthesis 9.3; page-image proofread vs page 331: confirmed"
1896 R1,8.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Sperra); 31 Aug 1896 disc by Sperra (Randolf Ohio) + indep by Brooks 4 Sept; only E-III H10 cited; 'discovered one and a half months after the perihelion passage'; D1=2 to 3'; page-image proofread vs page 333: confirmed
205P,9.9,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1896 G1 (Swift) wrong, body identifies as Giacobini Nice 4 Sept 1896 disc with calculated short period (Hussey P=8.996y, Ebell P=6.522y, final P=6.64y) → 205P/Giacobini (peri Oct 28 1896); Big V's narrative range H10=9.4 to 10.4 (no C.A.M.); took midpoint 9.9; periodic — dedupe with other 205P apparitions; page-image proofread vs page 333: confirmed"
18D,12.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 205P, but Big V 1896 VII (1896h) explicitly says 'first recorded apparition of the short-period Comet Perrine(1)' = 18D/Perrine-Mrkos (peri Nov 25 1896); Perrine Lick Obs 8 Dec 1896 disc; Holetschek H1=10.7 to 13.3; In C.A.M., H10=12.1; alternate Big V narrative H10=9.9±0.1 ('His own estimates') is significantly brighter — discrepancy noted; took C.A.M. per §3.1 priority; periodic — dedupe with other 18D apparitions; page-image proofread vs page 334: confirmed; periodic dedupe across apparitions [1909 III: M1=13.3]"
